tGroup,round,epoch,layer,neuron,type,weight,value
1-2,0,700,0,3,N,41,0.2909012824334712
1-2,0,700,0,3,N,42,0.46050218888162303
1-2,0,700,0,3,N,43,0.6451160191734543
1-2,0,700,0,3,N,44,0.554956074390257
1-2,0,700,0,3,N,45,0.7230353225707103
1-2,0,700,0,3,N,46,0.5478514174001105
1-2,0,700,0,3,N,47,0.6168098343888561
1-2,0,700,0,3,N,48,0.21845837407559554
1-2,0,700,0,3,N,49,0.23871026087780228
1-2,0,700,0,3,N,50,0.5048353377144879
1-2,0,700,0,3,N,51,0.033059029249792954
1-2,0,700,0,3,N,52,0.3443261432974158
1-2,0,700,0,3,N,53,-0.3144743007846199
1-2,0,700,0,3,N,54,0.05517502462067493
1-2,0,700,0,3,N,55,0.4338388455679945
1-2,0,700,0,4,N,0,0.16585248779824596
1-2,0,700,0,4,N,1,0.26534694225870514
1-2,0,700,0,4,N,2,-0.04659858536362444
1-2,0,700,0,4,N,3,-0.6710984065105073
1-2,0,700,0,4,N,4,0.17555135315130335
1-2,0,700,0,4,N,5,-0.12958122508849865
1-2,0,700,0,4,N,6,-0.03848195622757984
1-2,0,700,0,4,N,7,-0.219574569531038
1-2,0,700,0,4,N,8,0.2625316087347229
1-2,0,700,0,4,N,9,0.5675067822672637
1-2,0,700,0,4,N,10,-0.20772591391800643
1-2,0,700,0,4,N,11,-0.336814501361415
1-2,0,700,0,4,N,12,-0.1498138638478961
1-2,0,700,0,4,N,13,-0.6102405863853047
1-2,0,700,0,4,N,14,-0.12106848057127473
1-2,0,700,0,4,N,15,-0.04619386308722265
1-2,0,700,0,4,N,16,-0.6784705941261369
1-2,0,700,0,4,N,17,0.04646284647272442
1-2,0,700,0,4,N,18,-0.04258822152884948
1-2,0,700,0,4,N,19,0.12069378361268125
1-2,0,700,0,4,N,20,0.15291674970535468
1-2,0,700,0,4,N,21,0.31497124501333795
1-2,0,700,0,4,N,22,0.6110171205392838
1-2,0,700,0,4,N,23,-0.14074356053631115
1-2,0,700,0,4,N,24,-0.003755894408991045
1-2,0,700,0,4,N,25,-0.24060624411234555
1-2,0,700,0,4,N,26,-0.06873811698190203
1-2,0,700,0,4,N,27,0.662550736327798
1-2,0,700,0,4,N,28,0.31307953635512464
1-2,0,700,0,4,N,29,0.034592517054170484
1-2,0,700,0,4,N,30,-0.5569848998836594
1-2,0,700,0,4,N,31,-0.5790887258396035
1-2,0,700,0,4,N,32,0.45195727896263926
1-2,0,700,0,4,N,33,0.29251030430918035
1-2,0,700,0,4,N,34,-0.1056076609368618
1-2,0,700,0,4,N,35,-0.3879978117864076
1-2,0,700,0,4,N,36,0.542052958563729
1-2,0,700,0,4,N,37,-0.5600067444441599
1-2,0,700,0,4,N,38,-0.040940742715756546
1-2,0,700,0,4,N,39,0.1905659820554242
1-2,0,700,0,4,N,40,0.36242177633500394
1-2,0,700,0,4,N,41,-0.24299675106422944
1-2,0,700,0,4,N,42,-0.031688910077222916
1-2,0,700,0,4,N,43,0.07500319429860607
1-2,0,700,0,4,N,44,0.5087298713987828
1-2,0,700,0,4,N,45,0.012959133448430683
1-2,0,700,0,4,N,46,0.3658470297183899
1-2,0,700,0,4,N,47,0.4015307172959566
1-2,0,700,0,4,N,48,-0.06727275625164011
1-2,0,700,0,4,N,49,0.07271126750302678
1-2,0,700,0,4,N,50,0.6148296741933404
1-2,0,700,0,4,N,51,0.37207364522301595
1-2,0,700,0,4,N,52,0.11713874281768695
1-2,0,700,0,4,N,53,0.10949702933152687
1-2,0,700,0,4,N,54,0.209519529702182
1-2,0,700,0,4,N,55,-0.09487304843446956
1-2,0,700,0,5,N,0,-0.15383549556462642
1-2,0,700,0,5,N,1,-0.32988545203470476
1-2,0,700,0,5,N,2,0.006561584916699973
1-2,0,700,0,5,N,3,0.1497265363037655
1-2,0,700,0,5,N,4,0.322496222280377
1-2,0,700,0,5,N,5,-0.08214068083922488
1-2,0,700,0,5,N,6,-0.09487000307510995
1-2,0,700,0,5,N,7,0.30039273548723355
1-2,0,700,0,5,N,8,0.19531304945033232
1-2,0,700,0,5,N,9,-0.3035699106483294
1-2,0,700,0,5,N,10,0.767378693839011
1-2,0,700,0,5,N,11,0.26514505213316414
1-2,0,700,0,5,N,12,-0.738052059264652
