epoch,tGroup,target,outcome,probX,probY,probZ
388,1,0,0,0.59,0.47,0.16
389,1,1,0,0.22,0.62,0.23
390,1,2,0,0.14,0.24,0.71
391,1,2,0,0.16,0.28,0.66
392,1,1,0,0.20,0.62,0.25
393,1,2,0,0.13,0.23,0.75
394,1,0,0,0.59,0.44,0.17
395,1,2,0,0.14,0.20,0.75
396,1,2,0,0.13,0.20,0.77
397,0,0,0,0.60,0.34,0.15
398,0,2,0,0.12,0.20,0.80
399,0,2,0,0.11,0.19,0.83
400,1,2,0,0.14,0.17,0.79
401,0,2,0,0.10,0.18,0.84
402,1,1,0,0.21,0.54,0.29
403,0,0,0,0.61,0.26,0.15
404,0,2,0,0.11,0.19,0.83
405,0,1,0,0.27,0.52,0.22
406,1,2,0,0.16,0.24,0.71
407,1,1,0,0.20,0.58,0.28
408,0,2,0,0.10,0.21,0.82
409,1,1,0,0.20,0.61,0.26
410,0,1,0,0.24,0.61,0.20
411,1,0,0,0.59,0.45,0.16
412,1,1,0,0.26,0.56,0.22
413,0,2,0,0.09,0.25,0.81
414,0,0,0,0.60,0.32,0.13
415,1,1,0,0.21,0.64,0.23
416,1,2,0,0.13,0.22,0.75
417,0,1,0,0.25,0.63,0.18
418,0,1,0,0.24,0.66,0.18
419,0,0,0,0.59,0.43,0.12
420,1,1,0,0.20,0.68,0.21
421,1,1,0,0.20,0.70,0.20
422,0,1,0,0.23,0.69,0.16
423,0,2,0,0.09,0.30,0.77
424,0,2,0,0.08,0.28,0.80
425,0,0,0,0.59,0.35,0.12
426,0,0,0,0.62,0.40,0.11
427,0,0,0,0.65,0.30,0.11
428,1,1,0,0.23,0.64,0.19
429,1,1,0,0.29,0.59,0.17
430,1,1,0,0.27,0.63,0.17
431,1,1,0,0.20,0.73,0.18
432,1,1,0,0.19,0.74,0.17
433,1,0,0,0.61,0.52,0.12
434,0,0,0,0.63,0.42,0.09
435,1,2,0,0.14,0.22,0.71
436,0,2,0,0.10,0.24,0.79
437,1,2,0,0.16,0.27,0.65
438,1,0,0,0.65,0.41,0.14
439,0,0,0,0.67,0.33,0.11
440,0,0,0,0.69,0.31,0.11
441,1,2,0,0.16,0.16,0.75
442,1,0,0,0.71,0.33,0.14
443,1,2,0,0.20,0.19,0.68
444,0,2,0,0.12,0.16,0.83
445,0,2,0,0.13,0.16,0.81
446,1,2,0,0.15,0.13,0.79
447,0,2,0,0.12,0.15,0.83
448,0,2,0,0.12,0.15,0.83
449,1,2,0,0.17,0.17,0.75
450,1,2,0,0.14,0.12,0.83
451,1,0,0,0.69,0.27,0.18
452,0,2,0,0.12,0.13,0.85
453,1,0,0,0.70,0.26,0.18
454,1,1,0,0.25,0.48,0.25
455,1,2,0,0.18,0.17,0.75
456,1,1,0,0.31,0.43,0.24
457,1,1,0,0.29,0.48,0.22
458,1,1,0,0.21,0.61,0.23
459,1,1,0,0.26,0.56,0.20
460,0,1,0,0.23,0.64,0.18
461,1,1,0,0.24,0.63,0.19
462,0,0,0,0.62,0.32,0.12
463,0,0,0,0.64,0.39,0.11
464,0,2,0,0.10,0.23,0.81
465,0,0,0,0.66,0.35,0.11
466,0,1,0,0.27,0.62,0.16
467,0,2,0,0.09,0.22,0.83
468,0,1,0,0.25,0.64,0.16
469,0,1,0,0.24,0.67,0.16
470,0,1,0,0.23,0.69,0.16
471,1,2,0,0.13,0.30,0.69
472,1,0,0,0.64,0.44,0.13
473,1,2,0,0.11,0.19,0.79
474,1,0,0,0.66,0.39,0.14
475,1,1,0,0.27,0.57,0.18
476,1,2,0,0.14,0.26,0.71
477,0,2,0,0.08,0.21,0.85
478,0,1,0,0.22,0.64,0.18
479,1,1,0,0.24,0.61,0.19
480,1,0,0,0.64,0.43,0.13
481,1,0,0,0.66,0.39,0.13
482,1,2,0,0.12,0.17,0.79
483,1,0,0,0.68,0.36,0.13
484,1,1,0,0.21,0.64,0.19
485,1,1,0,0.21,0.67,0.18
486,0,0,0,0.67,0.26,0.11
487,1,1,0,0.28,0.59,0.16
488,1,1,0,0.20,0.71,0.17
489,0,2,0,0.08,0.24,0.82
490,0,2,0,0.09,0.23,0.81
491,1,2,0,0.13,0.26,0.71
492,0,2,0,0.09,0.21,0.83
493,1,0,0,0.67,0.37,0.13
494,1,1,0,0.26,0.57,0.18
495,1,2,0,0.11,0.18,0.80
496,0,0,0,0.67,0.24,0.12
497,0,2,0,0.08,0.19,0.85
498,1,2,0,0.14,0.22,0.74
499,1,2,0,0.11,0.15,0.82
500,1,2,0,0.13,0.21,0.76
501,1,2,0,0.11,0.14,0.84
502,1,2,0,0.13,0.20,0.78
503,0,0,0,0.66,0.28,0.13
504,1,0,0,0.70,0.29,0.15
505,1,0,0,0.71,0.28,0.15
506,1,1,0,0.29,0.48,0.21
507,0,0,0,0.70,0.27,0.11
508,0,0,0,0.72,0.25,0.11
509,0,0,0,0.73,0.24,0.11
510,1,1,0,0.32,0.49,0.19
511,0,0,0,0.73,0.26,0.10
512,0,1,0,0.28,0.58,0.17
513,1,1,0,0.23,0.64,0.19
514,0,2,0,0.09,0.18,0.86
515,1,2,0,0.12,0.15,0.82
516,1,0,0,0.73,0.32,0.13
517,0,2,0,0.09,0.16,0.86
518,1,2,0,0.13,0.13,0.82
519,1,1,0,0.28,0.54,0.18
520,0,2,0,0.09,0.18,0.85
521,1,1,0,0.20,0.66,0.19
522,0,2,0,0.09,0.19,0.84
523,1,1,0,0.20,0.68,0.19
524,0,1,0,0.22,0.67,0.17
525,0,0,0,0.68,0.34,0.10
526,1,2,0,0.11,0.16,0.82
527,1,0,0,0.71,0.34,0.12
528,0,0,0,0.71,0.29,0.10
529,1,2,0,0.12,0.14,0.82
530,1,0,0,0.74,0.30,0.12
531,0,2,0,0.09,0.16,0.86
532,1,2,0,0.15,0.18,0.76
533,1,2,0,0.12,0.12,0.84
534,0,1,0,0.24,0.59,0.18
535,1,1,0,0.27,0.56,0.18
536,1,2,0,0.11,0.15,0.83
537,1,2,0,0.12,0.21,0.77
538,1,0,0,0.71,0.31,0.13
539,1,2,0,0.13,0.19,0.78
540,1,2,0,0.11,0.13,0.85
541,1,1,0,0.25,0.55,0.20
542,0,0,0,0.69,0.20,0.13
543,0,0,0,0.71,0.28,0.10
544,1,2,0,0.11,0.13,0.85
545,1,1,0,0.27,0.56,0.18
546,0,2,0,0.07,0.17,0.88
547,0,2,0,0.07,0.17,0.88
548,1,2,0,0.12,0.19,0.79
549,0,1,0,0.21,0.64,0.19
550,1,1,0,0.24,0.61,0.18
551,0,1,0,0.20,0.70,0.18
552,1,1,0,0.17,0.74,0.19
553,1,1,0,0.16,0.75,0.18
554,0,0,0,0.67,0.36,0.09
555,0,0,0,0.69,0.34,0.09
556,1,0,0,0.72,0.34,0.11
557,0,2,0,0.08,0.19,0.85
558,1,0,0,0.73,0.31,0.11
559,1,2,0,0.13,0.20,0.77
560,0,2,0,0.08,0.16,0.86
561,0,1,0,0.22,0.64,0.17
562,1,2,0,0.12,0.20,0.78
563,1,0,0,0.73,0.30,0.12
564,0,0,0,0.73,0.25,0.09
565,1,0,0,0.76,0.27,0.12
566,1,0,0,0.77,0.25,0.12
567,0,0,0,0.77,0.22,0.09
568,0,0,0,0.78,0.21,0.09
569,1,2,0,0.13,0.10,0.84
570,0,0,0,0.77,0.14,0.11
571,1,1,0,0.33,0.50,0.16
572,1,1,0,0.30,0.55,0.15
573,0,2,0,0.09,0.16,0.85
574,1,0,0,0.77,0.27,0.11
575,1,1,0,0.22,0.66,0.16
576,1,2,0,0.11,0.13,0.83
577,0,2,0,0.08,0.16,0.87
578,1,1,0,0.21,0.67,0.17
579,1,1,0,0.26,0.61,0.15
580,0,0,0,0.73,0.20,0.10
581,1,2,0,0.13,0.21,0.77
582,1,1,0,0.26,0.63,0.15
583,0,0,0,0.73,0.30,0.08
584,1,1,0,0.20,0.72,0.16
585,0,0,0,0.73,0.20,0.10
586,0,2,0,0.08,0.19,0.85
587,0,2,0,0.07,0.18,0.87
588,1,1,0,0.20,0.71,0.16
589,0,0,0,0.74,0.29,0.08
590,1,1,0,0.20,0.72,0.15
591,1,2,0,0.10,0.15,0.83
592,1,2,0,0.12,0.21,0.77
593,0,2,0,0.07,0.17,0.88
594,0,1,0,0.21,0.69,0.15
595,0,0,0,0.73,0.20,0.11
596,0,1,0,0.22,0.70,0.15
597,1,1,0,0.24,0.67,0.14
598,1,2,0,0.11,0.23,0.77
599,1,0,0,0.74,0.33,0.10
