"sub.layer","sub.neuron","sub.type","sub.weight","sub.value"
0,2,"N",13,-0.0204461808392028
0,2,"N",14,0.618158984940467
0,2,"N",15,-0.733837625414625
0,2,"N",16,-0.669533706894517
0,2,"N",17,0.424306081236191
0,2,"N",18,0.726739481772542
0,2,"N",19,0.238292641041551
0,2,"N",20,-0.100969286130692
0,2,"N",21,-0.134733536193892
0,2,"N",22,0.917763141143795
0,2,"N",23,-0.0731727495314541
0,2,"N",24,-0.224176010198084
0,2,"N",25,-0.549190494651886
0,2,"N",26,0.0897089952469606
0,2,"N",27,0.645368985424085
0,2,"N",28,-0.789088246919865
0,2,"N",29,-0.631491490936389
0,2,"N",30,0.0962940675198027
0,2,"N",31,0.0766152621506643
0,2,"N",32,0.200920539783094
0,2,"N",33,0.160134084157635
0,2,"N",34,0.0613805247848082
0,2,"N",35,-0.248753389849261
0,2,"N",36,-0.473263803464988
0,2,"N",37,0.935199319411454
0,2,"N",38,-0.513984820206203
0,2,"N",39,0.423769317968226
0,2,"N",40,0.546643491932528
0,2,"N",41,-0.665048775010943
0,2,"N",42,0.696133551627479
0,2,"N",43,-0.363956581800448
0,2,"N",44,-0.319321271273313
0,2,"N",45,-0.205646235666308
0,2,"N",46,0.185466482657183
0,2,"N",47,0.141283195812194
0,2,"N",48,0.257720591184324
0,2,"N",49,-0.418217604473947
0,2,"N",50,0.353394347751703
0,2,"N",51,-0.503084922095303
0,2,"N",52,0.444487712368347
0,2,"N",53,-0.41980772667675
0,2,"N",54,0.191044246019824
0,2,"N",55,0.145121034462733
0,3,"N",0,0.275090543466123
0,3,"N",1,0.436459008848958
0,3,"N",2,0.190868381410852
0,3,"N",3,0.613095999097575
0,3,"N",4,0.112314761570829
0,3,"N",5,0.590129802743323
0,3,"N",6,-0.0233081539070986
0,3,"N",7,0.257543192454741
0,3,"N",8,0.45084068141662
0,3,"N",9,0.0159399540970081
0,3,"N",10,-0.482319928898986
0,3,"N",11,0.337067713974405
0,3,"N",12,-0.0563285632870275
0,3,"N",13,-0.122612712112491
0,3,"N",14,0.0611395490190826
0,3,"N",15,0.534581386040796
0,3,"N",16,0.263838323264539
0,3,"N",17,0.0623788759118543
0,3,"N",18,-0.0364642822995468
0,3,"N",19,0.427574782948628
0,3,"N",20,-0.535156875976044
0,3,"N",21,-0.414950086413478
0,3,"N",22,0.158101493483535
0,3,"N",23,-0.0451792638381721
0,3,"N",24,-0.421077514809491
0,3,"N",25,0.253920164593113
0,3,"N",26,0.0431446878004248
0,3,"N",27,-0.337901664259034
